,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,optionType,expiration,daysToExpiration
84,2025-02-27 17:03:47+00:00,540.0,0.01,0.0,0.01,0.0,0.0,2.0,571,1.2812535937499998,False,REGULAR,USD,call,2025-03-07,6
85,2025-02-27 16:50:21+00:00,545.0,0.01,0.0,0.01,0.0,0.0,1.0,877,1.3125034374999998,False,REGULAR,USD,call,2025-03-07,6
86,2025-02-26 15:55:20+00:00,550.0,0.01,0.0,0.01,0.0,0.0,184.0,906,1.3125034374999998,False,REGULAR,USD,call,2025-03-07,6
87,2025-02-25 17:16:47+00:00,555.0,0.01,0.0,0.01,0.0,0.0,25.0,274,1.3125034374999998,False,REGULAR,USD,call,2025-03-07,6
88,2025-02-25 16:37:40+00:00,560.0,0.01,0.0,0.01,0.0,0.0,6.0,186,1.3437532812499997,False,REGULAR,USD,call,2025-03-07,6
89,2025-02-25 17:48:14+00:00,565.0,0.01,0.0,0.01,0.0,0.0,31.0,94,1.3750031249999999,False,REGULAR,USD,call,2025-03-07,6
90,2025-02-25 14:48:08+00:00,570.0,0.01,0.0,0.01,0.0,0.0,10.0,117,1.3750031249999999,False,REGULAR,USD,call,2025-03-07,6
91,2025-02-26 16:41:21+00:00,575.0,0.01,0.0,0.01,0.0,0.0,1.0,219,1.40625296875,False,REGULAR,USD,call,2025-03-07,6
92,2025-02-25 15:49:07+00:00,580.0,0.01,0.0,0.01,0.0,0.0,70.0,159,1.40625296875,False,REGULAR,USD,call,2025-03-07,6
93,2025-02-25 17:53:23+00:00,585.0,0.01,0.0,0.01,0.0,0.0,5.0,281,1.4375028125,False,REGULAR,USD,call,2025-03-07,6
94,2025-02-27 20:45:54+00:00,590.0,0.01,0.0,0.01,-0.01,-50.0,1.0,302,1.4375028125,False,REGULAR,USD,call,2025-03-07,6
95,2025-02-28 20:15:07+00:00,600.0,0.01,0.0,0.01,0.0,0.0,1.0,919,1.46875265625,False,REGULAR,USD,call,2025-03-07,6
96,2025-02-28 15:56:39+00:00,610.0,0.01,0.0,0.01,0.0,0.0,10.0,80,1.5000025,False,REGULAR,USD,call,2025-03-07,6
97,2025-02-24 15:35:05+00:00,620.0,0.01,0.0,0.01,0.0,0.0,2.0,31,1.5312523437499999,False,REGULAR,USD,call,2025-03-07,6
98,2025-02-28 16:06:18+00:00,630.0,0.01,0.0,0.01,0.0,0.0,4.0,183,1.5625021874999998,False,REGULAR,USD,call,2025-03-07,6
99,2025-02-19 17:30:12+00:00,640.0,0.02,0.0,0.01,0.0,0.0,49.0,202,1.5937520312499998,False,REGULAR,USD,call,2025-03-07,6
